keyword,page,weibo_id,weibo_url,user_name,user_home,publish_time,reposts,comments,likes,content
人工智能问诊,1,1884619338675386342,https://www.zhihu.com/question/1884619338675386342,,,,,,,<em>智能问诊</em> 我拐走了魔尊两岁的儿子。瓷娃娃在我怀里眨巴着眼睛，好乖好乖。回到宗门，我把他献给仙尊。「让他给您当小厮，您看怎样？」本以为仙尊会高兴。结果他面色惨白。系统提示：【宿主，仙尊对您的好感度下降 5。】我不李姐！让宿敌的儿子伺候他，他怎会不开心？！这时，一位师兄火急火燎跑进来
人工智能问诊,1,2825878840,https://api.zhihu.com/answers/2825878840,陆玖传媒,https://api.zhihu.com/people/b16ed1f29965d0c65c520a44e284532b,2023-01-02T11:22:50,1,,6,当下流行的AI智能问诊是什么？ @左手医生 左手医生<em>智能</em>与<em>问诊</em>以医疗对话交互形式，在患者就诊前模拟医生<em>问诊</em>流程，提前采集患者病情信息
人工智能问诊,1,1952377311899923862,https://api.zhihu.com/articles/1952377311899923862,包包,https://api.zhihu.com/people/14b5a0064cfbb3629ed74789d3aa3a52,2025-09-19T14:32:20,1,,,【AI工具】<em>AI问诊</em>颠覆式升级，从此<em>看病</em>不求人 可靠的解答必须建立在专业医疗背书的基础上——这也正是我们通常更信赖专家名医的原因。而传统<em>AI问诊</em>的一个常见痛点，就是用户常常难以清晰、准确地描述自己的复杂症状
人工智能问诊,1,632148808,https://api.zhihu.com/articles/632148808,andy,https://api.zhihu.com/people/1c5a6d712286634f0730b5cdc7884f34,2023-05-25T15:51:01,1,,,<em>人工智能问诊</em>，智慧医疗健康管理，智能药物推荐系统，智能食疗推荐，疾病诊断分析系统，医疗健康机器人系统 <em>人工智能</em>健康管理系统，语音交互，智能分析疾病，包含8000+疾病<em>智能</em>分析，3W+症状数据， 饮食运动处方
人工智能问诊,1,1977675181653783662,https://api.zhihu.com/answers/1977675181653783662,优选评测院,https://api.zhihu.com/people/c73235fa000445a0a839a81531db2abe,2025-11-28T09:48:26,,,,AI能否替代医生问诊？ “N”则代表衍生出的多种垂直服务 。 这些<em>智能</em>体包括<em>AI</em>精准找医生、AI医学解读、AI皮肤病识别、<em>AI</em>用药助手、AI睡眠助手等 。这些功能旨在解决用户在健康信息获取、疾病初步判断、就医指导、报告解读等方面的痛点
人工智能问诊,1,f7e27e7b240d09c6e45374403757ed94,https://www.zhihu.com/question/f7e27e7b240d09c6e45374403757ed94,,,,,,,
人工智能问诊,1,1961785497476129619,https://www.zhihu.com/kvip/sku/paper/1961785497476129619,,,,,,,"生成式人工智能在诊断学问诊教学中的应用 目的探讨生成式人工智能在诊断学问诊教学中的应用效果。方法选择西安交通大学医学部2019级临床医学专业学生为研究对象,随机选择2个小班分别作为对照组(n=50)和试验组(n=50)。试验组采用Claud"
人工智能问诊,1,,https://www.zhihu.com/market/paid_magazine/1440242569570029568/section/1440242664873009152?origin_label=search,,,,,,,
人工智能问诊,1,1973848250072179979,https://api.zhihu.com/answers/1973848250072179979,咪蒙,https://api.zhihu.com/people/934a6f7dbc4055425aefc0e86b258c86,2025-11-17T20:21:35,,,,deepseek「AI 问诊」真的很有用吗？它对心理精神病类的判断如何？还是说其只适合询问生理病？ 我们来全面、客观地分析一下DeepSeek这类<em>AI</em>在<em>问诊</em>，特别是心理精神类问题上的能力、局限性和正确使用方式
人工智能问诊,1,1951700076679403121,https://api.zhihu.com/articles/1951700076679403121,VMOMENT,https://api.zhihu.com/people/1360c96cd040cc94c94698566e8b7470,2025-09-17T17:38:01,,,,你觉得这个<em>AI问诊</em>功能咋样？ 很多用户都非常喜欢里边的<em>AI</em>中医功能。 打开VMOMENT，拍一张舌照+面照（放心，照片仅用于<em>AI</em>分析哦～） 它会细心帮你分析
人工智能问诊,1,1970029990713197803,https://api.zhihu.com/answers/1970029990713197803,嗯哼,https://api.zhihu.com/people/29e30af7e0a54d10fb6bc6389bd9e5e8,2025-11-07T07:29:11,1,,,deepseek「AI 问诊」真的很有用吗？它对心理精神病类的判断如何？还是说其只适合询问生理病？ 核心问题其实在于 AI的算法和模型。 <em>AI问诊</em>的本质是信息匹配与概率计算，它真正的能力是运算推理能力
人工智能问诊,1,584025819,https://api.zhihu.com/answers/584025819,是你的益达,https://api.zhihu.com/people/ea05c382ea3a96fa4720e7f4ce2edd06,2019-01-28T16:56:33,,,2,为什么说人工智能问诊才是在线问诊的未来？ 就有可能产生误诊的情况。但是<em>人工智能问诊</em>与在线问诊有所不同，因为有人工智能技术，在线问诊就变为发达。原因你知道吗
人工智能问诊,1,1897690789389239016,https://api.zhihu.com/answers/1897690789389239016,徐若航,https://api.zhihu.com/people/523e1c5f6ed6dab80beabc752ce7a087,2025-04-21T16:39:01,9,,7,deepseek「AI 问诊」真的很有用吗？它对心理精神病类的判断如何？还是说其只适合询问生理病？ 比以前大家<em>看病</em>方便很多，虽然也有一些局限性。 输入你的问题deepseek可以给到相当多的资料，各种心理问题的可能性
人工智能问诊,1,1897672112598140308,https://api.zhihu.com/answers/1897672112598140308,墨苍离,https://api.zhihu.com/people/00a69a0323d435435c7bbd0f1bd535e5,2025-04-21T15:24:48,99,,39,deepseek「AI 问诊」真的很有用吗？它对心理精神病类的判断如何？还是说其只适合询问生理病？ 或用平庸者傲慢视角去意淫世界的妄想。 因而，你用好<em>AI</em>，AI可信的前提是： 你自己的认知高。 而这又是个悖论
人工智能问诊,1,110769994073,https://api.zhihu.com/answers/110769994073,药渣王,https://api.zhihu.com/people/d00e14ab96bed35288d4dd1204fd3619,2025-02-26T11:50:34,4,,,「AI 问诊」火了，如果用 AI 开出的药方出了问题，这个责任由谁承担？ <em>AI问诊</em>对医院和患者都是有利的，以后会成为病人和医生的好帮手，不但能促进更合理的诊断和用药，也有助于消除医药信息差
人工智能问诊,1,2898022788,https://api.zhihu.com/answers/2898022788,神经夫妻联盟,https://api.zhihu.com/people/18d509c297963646cf043716e60dbf95,2023-02-17T17:02:14,10,,3,AI能否替代医生问诊？ 听我讲完，作为一名神经外科医生，我其实很期待<em>AI</em>能替代医生的<em>问诊</em>工作，原因其实很简单，在繁忙高强度的医疗工作中
人工智能问诊,1,76229421200,https://api.zhihu.com/answers/76229421200,医联健康,https://api.zhihu.com/people/99e43ba6ebde9a595b867095011acd19,2025-01-10T17:16:50,1,,,在线诊疗是真人医生还是人工智能？ 有无真人医生：有 <em>人工智能问诊</em>是否有：有 很清楚的告知患者，预问诊阶段是医生<em>AI智能</em>体在进行，智能体会根据用户的信息
人工智能问诊,1,c28c5208a0bc12dfd61e9875c55d67ab,https://www.zhihu.com/question/c28c5208a0bc12dfd61e9875c55d67ab,,,,,,,
人工智能问诊,1,1964726959067079273,https://api.zhihu.com/answers/1964726959067079273,山西力汇智联,https://api.zhihu.com/people/740e2b73af7eebfb05368809c354e696,2025-10-23T16:16:49,,,,线上问诊和 AI 辅助诊断真的靠谱吗，未来会取代线下看病吗？ 我的认为是不会取代，线下<em>问诊</em>的这种模式一定是不会被<em>ai</em>取代的。 因为线上<em>问诊</em>，ai诊断只能说是浅层的分析可能的病因
人工智能问诊,1,1903784714231342483,https://api.zhihu.com/answers/1903784714231342483,暗淡蓝点,https://api.zhihu.com/people/420f46349ff06c7c6e8f3c71235a2afb,2025-05-08T12:14:06,1,,,你有通过 AI 诊断过疾病的经历吗？ 推荐专业的<em>问诊</em>平台，比如丁香医生，微信小程序和APP都有，可以选择医院，科室，医生，进行付费<em>问诊</em>，可以用图文形式
