keyword,page,note_id,note_url,user_name,user_home,publish_time,reposts,comments,likes,content,comment_user,comment_content,comment_likes
AI问诊,1,6932fb1c000000001b023469,https://www.xiaohongshu.com/explore/6932fb1c000000001b023469?xsec_token=ABq9LZT7RLLGDkU5cVj6ESBCjGunkz-XybM4-9i059_BI=&xsec_source=pc_search&source=web_search_result_notes,,,2天前 湖南,,1,,"冬天湿疹别自己瞎琢磨，问一问AI电子大白吧
最近换季降温皮肤总出问题，要么泛红要么起疹子，每次都要对着镜子瞎猜 “是不是过敏了”“是不是护肤品不合适”，去医院看皮肤科还要预约排队检查到处跑，特别耽误时间。 	 试了 AQ 拍一拍功能后，解决了我的大难题：把过敏的皮肤状况拍下来，它会先识别症状，问一些问题，比如主要的部位、时间等，最后给出一个综合分析的结论，还可以直接关联到买药的页面。 	 诊断完之后，可以直接保存到自己的档案中，下次问诊就会结合之前的情况一起分析，给出更适合个人情况的建议。就可以随时查看了，如果去医院，医生问到，也可以随时翻出来查看病史。 	 其实皮肤出现问题真的很常见，但是好多人都会拖着不管如何没有对应的治疗，遭罪的也是自己了。有这样的app方便随时拍随时问，还是相当便利的，懒人们可以试试看 	 #皮肤问题#过敏护理#拍一拍查皮肤#护肤攻略#AQ#AQ小助手#AI问诊#AI健康应用
2天前 湖南",净肤堂,"昨天 11:02河北
2
回复",
AI问诊,1,search_result,https://www.xiaohongshu.com/search_result?keyword=ai%E9%97%AE%E8%AF%8Aapp%E6%8E%A8%E8%8D%90&source=web_search_result_notes,,,,,0,,,,,
AI问诊,1,6914745000000000040001b1,https://www.xiaohongshu.com/explore/6914745000000000040001b1?xsec_token=ABklPtKJsFo2RbCMTaQtCi5JDpy9ufFE58_UakqAUEcuI=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 11-29 上海,,10,,"AI问诊访谈招募！！！！
📢📢大家好~我是一名研究生，目前围绕AI问诊开展研究，有相关经历的朋友可以来聊一聊~ 💡【研究主题】 ""AI问诊情景下的患者行为"" 希望通过此研究能够增进对AI问诊的理解，为平台优化服务模式、医院完善相关服务提供策略参考。💡【招募对象】 AI问诊服务深度用户（如ChatGPT、Deepseek、豆包等通用大模型以及春雨慧问、MedGPT、AQ等专业的医疗大模型进行预问诊、用药建议、健康咨询等）。特别是有过与AI互动的经历之后与医生讨论的经历。目前缺男性受访者！！！ ⏰【访谈时间】 约30-60分钟，视具体情况而定 💡【访谈形式】 线上即可，无需露脸，但需要录音 💡【声明与报酬】 -访谈内容仅作为学术研究使用，绝不会泄露个人信息与隐私，不会外传，论文完成后销毁 -可提供10-20元报酬，视访谈内容和时间而定。由于此次访谈没有经费，所以只能提供小额的红包。访谈完全遵循自愿原则。感谢您的参与！ 💡【备注】 需要访谈者提供基础身份信息（如年龄、职业）。承诺仅用于本研究，相关身份资料仅以匿名形式出现。#AI聊天#AI人工智能#AIGC#AI#大模型#AI聊天#AI人工智能#AIGC#AI#大模型
编辑于 11-29 上海",Raicen,"想问问如何参加！是临床医学生
11-12广东
赞
回复",
AI问诊,1,6914745000000000040001b1,https://www.xiaohongshu.com/explore/6914745000000000040001b1?xsec_token=ABklPtKJsFo2RbCMTaQtCi5JDpy9ufFE58_UakqAUEcuI=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 11-29 上海,,10,,"AI问诊访谈招募！！！！
📢📢大家好~我是一名研究生，目前围绕AI问诊开展研究，有相关经历的朋友可以来聊一聊~ 💡【研究主题】 ""AI问诊情景下的患者行为"" 希望通过此研究能够增进对AI问诊的理解，为平台优化服务模式、医院完善相关服务提供策略参考。💡【招募对象】 AI问诊服务深度用户（如ChatGPT、Deepseek、豆包等通用大模型以及春雨慧问、MedGPT、AQ等专业的医疗大模型进行预问诊、用药建议、健康咨询等）。特别是有过与AI互动的经历之后与医生讨论的经历。目前缺男性受访者！！！ ⏰【访谈时间】 约30-60分钟，视具体情况而定 💡【访谈形式】 线上即可，无需露脸，但需要录音 💡【声明与报酬】 -访谈内容仅作为学术研究使用，绝不会泄露个人信息与隐私，不会外传，论文完成后销毁 -可提供10-20元报酬，视访谈内容和时间而定。由于此次访谈没有经费，所以只能提供小额的红包。访谈完全遵循自愿原则。感谢您的参与！ 💡【备注】 需要访谈者提供基础身份信息（如年龄、职业）。承诺仅用于本研究，相关身份资料仅以匿名形式出现。#AI聊天#AI人工智能#AIGC#AI#大模型#AI聊天#AI人工智能#AIGC#AI#大模型
编辑于 11-29 上海",茉莉呀,"报名
11-13广东
赞
回复",
AI问诊,1,6914745000000000040001b1,https://www.xiaohongshu.com/explore/6914745000000000040001b1?xsec_token=ABklPtKJsFo2RbCMTaQtCi5JDpy9ufFE58_UakqAUEcuI=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 11-29 上海,,10,,"AI问诊访谈招募！！！！
📢📢大家好~我是一名研究生，目前围绕AI问诊开展研究，有相关经历的朋友可以来聊一聊~ 💡【研究主题】 ""AI问诊情景下的患者行为"" 希望通过此研究能够增进对AI问诊的理解，为平台优化服务模式、医院完善相关服务提供策略参考。💡【招募对象】 AI问诊服务深度用户（如ChatGPT、Deepseek、豆包等通用大模型以及春雨慧问、MedGPT、AQ等专业的医疗大模型进行预问诊、用药建议、健康咨询等）。特别是有过与AI互动的经历之后与医生讨论的经历。目前缺男性受访者！！！ ⏰【访谈时间】 约30-60分钟，视具体情况而定 💡【访谈形式】 线上即可，无需露脸，但需要录音 💡【声明与报酬】 -访谈内容仅作为学术研究使用，绝不会泄露个人信息与隐私，不会外传，论文完成后销毁 -可提供10-20元报酬，视访谈内容和时间而定。由于此次访谈没有经费，所以只能提供小额的红包。访谈完全遵循自愿原则。感谢您的参与！ 💡【备注】 需要访谈者提供基础身份信息（如年龄、职业）。承诺仅用于本研究，相关身份资料仅以匿名形式出现。#AI聊天#AI人工智能#AIGC#AI#大模型#AI聊天#AI人工智能#AIGC#AI#大模型
编辑于 11-29 上海",ruby,"举手
11-12上海
赞
回复",
AI问诊,1,6914745000000000040001b1,https://www.xiaohongshu.com/explore/6914745000000000040001b1?xsec_token=ABklPtKJsFo2RbCMTaQtCi5JDpy9ufFE58_UakqAUEcuI=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 11-29 上海,,10,,"AI问诊访谈招募！！！！
📢📢大家好~我是一名研究生，目前围绕AI问诊开展研究，有相关经历的朋友可以来聊一聊~ 💡【研究主题】 ""AI问诊情景下的患者行为"" 希望通过此研究能够增进对AI问诊的理解，为平台优化服务模式、医院完善相关服务提供策略参考。💡【招募对象】 AI问诊服务深度用户（如ChatGPT、Deepseek、豆包等通用大模型以及春雨慧问、MedGPT、AQ等专业的医疗大模型进行预问诊、用药建议、健康咨询等）。特别是有过与AI互动的经历之后与医生讨论的经历。目前缺男性受访者！！！ ⏰【访谈时间】 约30-60分钟，视具体情况而定 💡【访谈形式】 线上即可，无需露脸，但需要录音 💡【声明与报酬】 -访谈内容仅作为学术研究使用，绝不会泄露个人信息与隐私，不会外传，论文完成后销毁 -可提供10-20元报酬，视访谈内容和时间而定。由于此次访谈没有经费，所以只能提供小额的红包。访谈完全遵循自愿原则。感谢您的参与！ 💡【备注】 需要访谈者提供基础身份信息（如年龄、职业）。承诺仅用于本研究，相关身份资料仅以匿名形式出现。#AI聊天#AI人工智能#AIGC#AI#大模型#AI聊天#AI人工智能#AIGC#AI#大模型
编辑于 11-29 上海",仅你可爱,"我来
11-24重庆
赞
回复",
AI问诊,1,6914745000000000040001b1,https://www.xiaohongshu.com/explore/6914745000000000040001b1?xsec_token=ABklPtKJsFo2RbCMTaQtCi5JDpy9ufFE58_UakqAUEcuI=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 11-29 上海,,10,,"AI问诊访谈招募！！！！
📢📢大家好~我是一名研究生，目前围绕AI问诊开展研究，有相关经历的朋友可以来聊一聊~ 💡【研究主题】 ""AI问诊情景下的患者行为"" 希望通过此研究能够增进对AI问诊的理解，为平台优化服务模式、医院完善相关服务提供策略参考。💡【招募对象】 AI问诊服务深度用户（如ChatGPT、Deepseek、豆包等通用大模型以及春雨慧问、MedGPT、AQ等专业的医疗大模型进行预问诊、用药建议、健康咨询等）。特别是有过与AI互动的经历之后与医生讨论的经历。目前缺男性受访者！！！ ⏰【访谈时间】 约30-60分钟，视具体情况而定 💡【访谈形式】 线上即可，无需露脸，但需要录音 💡【声明与报酬】 -访谈内容仅作为学术研究使用，绝不会泄露个人信息与隐私，不会外传，论文完成后销毁 -可提供10-20元报酬，视访谈内容和时间而定。由于此次访谈没有经费，所以只能提供小额的红包。访谈完全遵循自愿原则。感谢您的参与！ 💡【备注】 需要访谈者提供基础身份信息（如年龄、职业）。承诺仅用于本研究，相关身份资料仅以匿名形式出现。#AI聊天#AI人工智能#AIGC#AI#大模型#AI聊天#AI人工智能#AIGC#AI#大模型
编辑于 11-29 上海",清欢,"举手🙋🏻‍♀️
11-12江苏
赞
回复",
AI问诊,1,6914745000000000040001b1,https://www.xiaohongshu.com/explore/6914745000000000040001b1?xsec_token=ABklPtKJsFo2RbCMTaQtCi5JDpy9ufFE58_UakqAUEcuI=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 11-29 上海,,10,,"AI问诊访谈招募！！！！
📢📢大家好~我是一名研究生，目前围绕AI问诊开展研究，有相关经历的朋友可以来聊一聊~ 💡【研究主题】 ""AI问诊情景下的患者行为"" 希望通过此研究能够增进对AI问诊的理解，为平台优化服务模式、医院完善相关服务提供策略参考。💡【招募对象】 AI问诊服务深度用户（如ChatGPT、Deepseek、豆包等通用大模型以及春雨慧问、MedGPT、AQ等专业的医疗大模型进行预问诊、用药建议、健康咨询等）。特别是有过与AI互动的经历之后与医生讨论的经历。目前缺男性受访者！！！ ⏰【访谈时间】 约30-60分钟，视具体情况而定 💡【访谈形式】 线上即可，无需露脸，但需要录音 💡【声明与报酬】 -访谈内容仅作为学术研究使用，绝不会泄露个人信息与隐私，不会外传，论文完成后销毁 -可提供10-20元报酬，视访谈内容和时间而定。由于此次访谈没有经费，所以只能提供小额的红包。访谈完全遵循自愿原则。感谢您的参与！ 💡【备注】 需要访谈者提供基础身份信息（如年龄、职业）。承诺仅用于本研究，相关身份资料仅以匿名形式出现。#AI聊天#AI人工智能#AIGC#AI#大模型#AI聊天#AI人工智能#AIGC#AI#大模型
编辑于 11-29 上海",疯狂咬人的卡皮巴拉,"dd
11-12天津
赞
回复",
AI问诊,1,6914745000000000040001b1,https://www.xiaohongshu.com/explore/6914745000000000040001b1?xsec_token=ABklPtKJsFo2RbCMTaQtCi5JDpy9ufFE58_UakqAUEcuI=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 11-29 上海,,10,,"AI问诊访谈招募！！！！
📢📢大家好~我是一名研究生，目前围绕AI问诊开展研究，有相关经历的朋友可以来聊一聊~ 💡【研究主题】 ""AI问诊情景下的患者行为"" 希望通过此研究能够增进对AI问诊的理解，为平台优化服务模式、医院完善相关服务提供策略参考。💡【招募对象】 AI问诊服务深度用户（如ChatGPT、Deepseek、豆包等通用大模型以及春雨慧问、MedGPT、AQ等专业的医疗大模型进行预问诊、用药建议、健康咨询等）。特别是有过与AI互动的经历之后与医生讨论的经历。目前缺男性受访者！！！ ⏰【访谈时间】 约30-60分钟，视具体情况而定 💡【访谈形式】 线上即可，无需露脸，但需要录音 💡【声明与报酬】 -访谈内容仅作为学术研究使用，绝不会泄露个人信息与隐私，不会外传，论文完成后销毁 -可提供10-20元报酬，视访谈内容和时间而定。由于此次访谈没有经费，所以只能提供小额的红包。访谈完全遵循自愿原则。感谢您的参与！ 💡【备注】 需要访谈者提供基础身份信息（如年龄、职业）。承诺仅用于本研究，相关身份资料仅以匿名形式出现。#AI聊天#AI人工智能#AIGC#AI#大模型#AI聊天#AI人工智能#AIGC#AI#大模型
编辑于 11-29 上海",爱生活的狗爪君,"报名
11-17河北
赞
回复",
AI问诊,1,6914745000000000040001b1,https://www.xiaohongshu.com/explore/6914745000000000040001b1?xsec_token=ABklPtKJsFo2RbCMTaQtCi5JDpy9ufFE58_UakqAUEcuI=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 11-29 上海,,10,,"AI问诊访谈招募！！！！
📢📢大家好~我是一名研究生，目前围绕AI问诊开展研究，有相关经历的朋友可以来聊一聊~ 💡【研究主题】 ""AI问诊情景下的患者行为"" 希望通过此研究能够增进对AI问诊的理解，为平台优化服务模式、医院完善相关服务提供策略参考。💡【招募对象】 AI问诊服务深度用户（如ChatGPT、Deepseek、豆包等通用大模型以及春雨慧问、MedGPT、AQ等专业的医疗大模型进行预问诊、用药建议、健康咨询等）。特别是有过与AI互动的经历之后与医生讨论的经历。目前缺男性受访者！！！ ⏰【访谈时间】 约30-60分钟，视具体情况而定 💡【访谈形式】 线上即可，无需露脸，但需要录音 💡【声明与报酬】 -访谈内容仅作为学术研究使用，绝不会泄露个人信息与隐私，不会外传，论文完成后销毁 -可提供10-20元报酬，视访谈内容和时间而定。由于此次访谈没有经费，所以只能提供小额的红包。访谈完全遵循自愿原则。感谢您的参与！ 💡【备注】 需要访谈者提供基础身份信息（如年龄、职业）。承诺仅用于本研究，相关身份资料仅以匿名形式出现。#AI聊天#AI人工智能#AIGC#AI#大模型#AI聊天#AI人工智能#AIGC#AI#大模型
编辑于 11-29 上海",大头,"你好怎么参加
11-12福建
赞
回复",
