keyword,page,note_id,note_url,user_name,user_home,publish_time,reposts,comments,likes,content,comment_user,comment_content,comment_likes
人工智能问诊,1,6934318d000000001e00d18b,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b?xsec_token=ABO8OM8DsNulsF5wrZeNOt2nBwGysvK0-NT3RYgViHQow=&xsec_source=pc_search&source=web_search_result_notes,,,2天前 湖南,,7,,"周末在家搭建了一个多Agent医疗问诊系统
#大模型#Agent#人工智能#智能体#Rag#LLM#ai#编程#编程#程序员
2天前 湖南",小红薯321E7460,"这个怎么构建的呢？可以传授一下经验吗
1天前江苏
1
1",
人工智能问诊,1,6934318d000000001e00d18b,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b?xsec_token=ABO8OM8DsNulsF5wrZeNOt2nBwGysvK0-NT3RYgViHQow=&xsec_source=pc_search&source=web_search_result_notes,,,2天前 湖南,,7,,"周末在家搭建了一个多Agent医疗问诊系统
#大模型#Agent#人工智能#智能体#Rag#LLM#ai#编程#编程#程序员
2天前 湖南",王金柱,"关注求文档
1天前浙江
1
1",
人工智能问诊,1,6934318d000000001e00d18b,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b?xsec_token=ABO8OM8DsNulsF5wrZeNOt2nBwGysvK0-NT3RYgViHQow=&xsec_source=pc_search&source=web_search_result_notes,,,2天前 湖南,,7,,"周末在家搭建了一个多Agent医疗问诊系统
#大模型#Agent#人工智能#智能体#Rag#LLM#ai#编程#编程#程序员
2天前 湖南",超厉害,"求文档
1天前重庆
1
1",
人工智能问诊,1,6934318d000000001e00d18b,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b?xsec_token=ABO8OM8DsNulsF5wrZeNOt2nBwGysvK0-NT3RYgViHQow=&xsec_source=pc_search&source=web_search_result_notes,,,2天前 湖南,,7,,"周末在家搭建了一个多Agent医疗问诊系统
#大模型#Agent#人工智能#智能体#Rag#LLM#ai#编程#编程#程序员
2天前 湖南",小米,"已关，求文档
2天前上海
1
1",
人工智能问诊,1,6934318d000000001e00d18b,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b?xsec_token=ABO8OM8DsNulsF5wrZeNOt2nBwGysvK0-NT3RYgViHQow=&xsec_source=pc_search&source=web_search_result_notes,,,2天前 湖南,,7,,"周末在家搭建了一个多Agent医疗问诊系统
#大模型#Agent#人工智能#智能体#Rag#LLM#ai#编程#编程#程序员
2天前 湖南",lyl,"求文档
1天前上海
1
回复",
人工智能问诊,1,6934318d000000001e00d18b,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b?xsec_token=ABO8OM8DsNulsF5wrZeNOt2nBwGysvK0-NT3RYgViHQow=&xsec_source=pc_search&source=web_search_result_notes,,,2天前 湖南,,7,,"周末在家搭建了一个多Agent医疗问诊系统
#大模型#Agent#人工智能#智能体#Rag#LLM#ai#编程#编程#程序员
2天前 湖南",小红薯6866D9D0,"已关，求文档
2天前湖南
1
回复",
人工智能问诊,1,6934318d000000001e00d18b,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b?xsec_token=ABO8OM8DsNulsF5wrZeNOt2nBwGysvK0-NT3RYgViHQow=&xsec_source=pc_search&source=web_search_result_notes,,,2天前 湖南,,7,,"周末在家搭建了一个多Agent医疗问诊系统
#大模型#Agent#人工智能#智能体#Rag#LLM#ai#编程#编程#程序员
2天前 湖南",momo04F7,"已关，求文档
1天前广西
1
回复",
人工智能问诊,1,68ceba79000000000b03f003,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003?xsec_token=ABtsa_e67MUHbv1TULGL0YlDMN-ZeYaM3YDtZKzYznXy8=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 09-20,,6,,"“都是医院IT技术部门和相关厂家的自嗨…”🥲
这几个产品都是大模型火了以后，各个医院以及厂商争相部署宣传的，各种PR稿满天飞，一线临床医生真实的使用效果到底如何呢？我一直非常好奇，今天终于有机会了解到一些情况，整体结论是，使用率非常非常低，几乎没有使用，如题，“根本就没有考虑到我们临床医生的真实使用场景和需求，非但没有提升效率，反而增加了很多麻烦”—— 	 — #AI患者预问诊 ：首先，本身就没有多少患者使用，你想想患者为什么要用这个？有什么收益？都要来医院了还跟一个磕磕绊绊的机器人聊个啥劲儿？不管是初诊还是复诊，无论是什么病情症状，问的都是千篇一律的套话，没啥实质性意义。其次，生成的结果结果根本无法使用，很多都是垃圾内容，医生还要挑捡着删除、修改，有这点功夫早就手动做完了。 	 — #AI病历生成 ：外科那边貌似用的还行，他们的出院小结好写啊，住院时间也不长，病历相对简单，AI生成的也快，我们内科是不用的，太耽误事儿，生成一个要几分钟甚至更长时间，等不起啊，并且内科的病历太复杂，AI根本理解不了，生成的结果差劲儿得很，还不如自己写。 	 — #AI病历质控 ：本来质控规则就那么点儿，一张A4纸都写不满，AI给我生成四五页纸的质控修改意见，这不是没事找事吗？ 	 — #AI查房记录 ：还有那个什么AI查房记录，先不说我必须在嘈杂的病房对着手机一字一句用非常标准的普通话去说，并且还得一遍一遍重复病人没说清楚的内容，你看看设计的啥垃圾产品，每次只能说一分钟，每分钟生成的内容还不能合并，无语了。 	 还有很多，其实我能听出来，医生对AI还是抱有很大的预期，希望能够帮助他们提高看病效率，但实际上，无论是AI技术能力，还是产品设计，都远远没有达到可用的效果反而增添了很多麻烦。虽然如此，我个人还是对#医疗AI 抱有非常乐观的态度，一切在路上，任重道远，且行且珍惜。共勉。#医疗大模型落地#医疗大模型#医院高质量发展#医疗人工智能#医院信息科
编辑于 09-20",Go,"不想出门懒得去医院的，可以用ai初步了解一下
09-21
2
3",
人工智能问诊,1,68ceba79000000000b03f003,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003?xsec_token=ABtsa_e67MUHbv1TULGL0YlDMN-ZeYaM3YDtZKzYznXy8=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 09-20,,6,,"“都是医院IT技术部门和相关厂家的自嗨…”🥲
这几个产品都是大模型火了以后，各个医院以及厂商争相部署宣传的，各种PR稿满天飞，一线临床医生真实的使用效果到底如何呢？我一直非常好奇，今天终于有机会了解到一些情况，整体结论是，使用率非常非常低，几乎没有使用，如题，“根本就没有考虑到我们临床医生的真实使用场景和需求，非但没有提升效率，反而增加了很多麻烦”—— 	 — #AI患者预问诊 ：首先，本身就没有多少患者使用，你想想患者为什么要用这个？有什么收益？都要来医院了还跟一个磕磕绊绊的机器人聊个啥劲儿？不管是初诊还是复诊，无论是什么病情症状，问的都是千篇一律的套话，没啥实质性意义。其次，生成的结果结果根本无法使用，很多都是垃圾内容，医生还要挑捡着删除、修改，有这点功夫早就手动做完了。 	 — #AI病历生成 ：外科那边貌似用的还行，他们的出院小结好写啊，住院时间也不长，病历相对简单，AI生成的也快，我们内科是不用的，太耽误事儿，生成一个要几分钟甚至更长时间，等不起啊，并且内科的病历太复杂，AI根本理解不了，生成的结果差劲儿得很，还不如自己写。 	 — #AI病历质控 ：本来质控规则就那么点儿，一张A4纸都写不满，AI给我生成四五页纸的质控修改意见，这不是没事找事吗？ 	 — #AI查房记录 ：还有那个什么AI查房记录，先不说我必须在嘈杂的病房对着手机一字一句用非常标准的普通话去说，并且还得一遍一遍重复病人没说清楚的内容，你看看设计的啥垃圾产品，每次只能说一分钟，每分钟生成的内容还不能合并，无语了。 	 还有很多，其实我能听出来，医生对AI还是抱有很大的预期，希望能够帮助他们提高看病效率，但实际上，无论是AI技术能力，还是产品设计，都远远没有达到可用的效果反而增添了很多麻烦。虽然如此，我个人还是对#医疗AI 抱有非常乐观的态度，一切在路上，任重道远，且行且珍惜。共勉。#医疗大模型落地#医疗大模型#医院高质量发展#医疗人工智能#医院信息科
编辑于 09-20",-_-,"请教一下，是不是这些产品开发者都没有临床经验？
09-28
赞
2",
人工智能问诊,1,68ceba79000000000b03f003,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003?xsec_token=ABtsa_e67MUHbv1TULGL0YlDMN-ZeYaM3YDtZKzYznXy8=&xsec_source=pc_search&source=web_search_result_notes,,,编辑于 09-20,,6,,"“都是医院IT技术部门和相关厂家的自嗨…”🥲
这几个产品都是大模型火了以后，各个医院以及厂商争相部署宣传的，各种PR稿满天飞，一线临床医生真实的使用效果到底如何呢？我一直非常好奇，今天终于有机会了解到一些情况，整体结论是，使用率非常非常低，几乎没有使用，如题，“根本就没有考虑到我们临床医生的真实使用场景和需求，非但没有提升效率，反而增加了很多麻烦”—— 	 — #AI患者预问诊 ：首先，本身就没有多少患者使用，你想想患者为什么要用这个？有什么收益？都要来医院了还跟一个磕磕绊绊的机器人聊个啥劲儿？不管是初诊还是复诊，无论是什么病情症状，问的都是千篇一律的套话，没啥实质性意义。其次，生成的结果结果根本无法使用，很多都是垃圾内容，医生还要挑捡着删除、修改，有这点功夫早就手动做完了。 	 — #AI病历生成 ：外科那边貌似用的还行，他们的出院小结好写啊，住院时间也不长，病历相对简单，AI生成的也快，我们内科是不用的，太耽误事儿，生成一个要几分钟甚至更长时间，等不起啊，并且内科的病历太复杂，AI根本理解不了，生成的结果差劲儿得很，还不如自己写。 	 — #AI病历质控 ：本来质控规则就那么点儿，一张A4纸都写不满，AI给我生成四五页纸的质控修改意见，这不是没事找事吗？ 	 — #AI查房记录 ：还有那个什么AI查房记录，先不说我必须在嘈杂的病房对着手机一字一句用非常标准的普通话去说，并且还得一遍一遍重复病人没说清楚的内容，你看看设计的啥垃圾产品，每次只能说一分钟，每分钟生成的内容还不能合并，无语了。 	 还有很多，其实我能听出来，医生对AI还是抱有很大的预期，希望能够帮助他们提高看病效率，但实际上，无论是AI技术能力，还是产品设计，都远远没有达到可用的效果反而增添了很多麻烦。虽然如此，我个人还是对#医疗AI 抱有非常乐观的态度，一切在路上，任重道远，且行且珍惜。共勉。#医疗大模型落地#医疗大模型#医院高质量发展#医疗人工智能#医院信息科
编辑于 09-20",你就是特派员？,"你说的有这些问题，根本不可能通过上线。什么录音还限定一分钟？
09-29
1
2",
